KINGGEN STATS:

HUB,COUNT
default_city,6
default_single_city,0
default_town,3
default_village,7
oldwest_village,1

POI,COUNT
abandoned_house_01,8
abandoned_house_02,8
abandoned_house_03,8
abandoned_house_04,8
abandoned_house_05,8
abandoned_house_06,8
abandoned_house_07,8
abandoned_house_08,8
apartment_adobe_red_5_flr,6
apartment_brick_6_flr,6
army_barracks_01,8
army_camp_01,8
army_camp_02,8
army_camp_03,8
bar_sm_01,10
bar_stripclub_01,8
bar_theater_01,7
barn_01,8
barn_02,8
barn_03,8
blueberryfield_sm,8
bluff01,0
bombshelter_01,8
bombshelter_lg_01,8
bombshelter_md_01,8
bridge_asphalt1,0
bridge_asphalt_broken,0
bridge_concrete1,0
bridge_wood1,0
bridge_wood2,0
bus_stop_01,0
bus_wreck_01,0
business_burnt_01,12
business_burnt_02,12
business_old_01,10
business_old_02,9
business_old_03,9
business_old_04,8
business_old_05,10
business_old_06,9
business_old_07,9
business_old_08,8
business_strip_old_01,8
business_strip_old_02,8
business_strip_old_03,7
business_strip_old_04,8
cabin_01,8
cabin_02,8
cabin_03,8
cabin_04,8
cabin_05,8
cabin_06,8
cabin_07,8
cabin_08,8
cabin_09,7
cabin_10,7
cabin_11,8
cabin_12,8
cabin_13,8
cabin_14,8
cabin_15,8
canyon_car_wreck,0
canyon_cliff_dwellings,0
canyon_gift_shop,0
canyon_gift_shop_sign,0
canyon_mine,0
carlot_01,8
carlot_02,8
cave_01,0
cave_02,0
cave_03,0
cave_04,0
cave_05,0
cemetery_01,9
cemetery_02,9
church_01,7
church_graveyard1,8
church_sm_01,8
cornfield_lg,8
cornfield_med,8
cornfield_sm,9
courthouse_med_01,5
culvert_01,0
deco_coal_vein,0
deco_iron_vein,0
deco_lead_vein,0
deco_nitrate_vein,0
deco_remnant_stone_01,17
deco_remnant_stone_02,17
deco_remnant_stone_03,17
deco_remnant_stone_04,0
deco_remnant_wood_01,0
deco_remnant_wood_02,0
deco_rubble_stone_01,0
deco_rubble_stone_02,0
deco_rubble_stone_03,0
deco_rubble_stone_04,0
deco_rubble_stone_05,0
deco_shale_vein,0
departure_bridge_01,0
departure_bridge_02,0
departure_city_blk_01,0
departure_city_blk_plaza,5
departure_city_sign,0
desert_arch,0
